station_code,station_name,country,region
SJO,San José,Costa Rica,Central America
MEX,Mexico City,Mexico,North America
SAL,San Salvador,El Salvador,Central America
GUA,Guatemala City,Guatemala,Central America
SAP,San Pedro Sula,Honduras,Central America
PTY,Panama City,Panama,Central America
MIA,Miami,United States,North America
BOG,Bogotá,Colombia,South America
LIM,Lima,Peru,South America
SCL,Santiago,Chile,South America
LAX,Los Angeles,United States,North America
JFK,New York,United States,North America
